Student_ID,Gender,Study_Hours_per_Week,Attendance_Percentage,Sleep_Hours_Per_Night,Internet_Access_at_Home,Previous_Exam_Score,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S0001,Female,13,68,7.0,Yes,55,No,42,Fail
S0002,Male,24,85,8.8,Yes,82,No,64,Pass
S0003,Male,30,62,5.7,Yes,93,Yes,61,Pass
S0004,Male,18,57,7.3,Yes,64,No,47,Fail
S0005,Male,28,87,8.6,No,91,No,70,Pass
S0006,Male,15,69,5.3,No,77,Yes,41,Fail
S0007,Male,7,61,6.4,No,99,Yes,54,Pass
S0008,Female,18,53,9.3,Yes,94,No,63,Pass
S0009,Male,27,77,5.8,Yes,71,Yes,59,Pass
S0010,Male,26,67,6.0,Yes,50,No,50,Pass
S0011,Female,21,83,6.4,Yes,33,No,35,Fail
S0012,Female,8,51,8.7,Yes,81,Yes,43,Fail
S0013,Female,26,64,7.9,No,30,No,48,Fail
S0014,Female,38,74,6.1,Yes,86,Yes,70,Pass
S0015,Female,40,67,7.8,Yes,40,No,64,Pass
S0016,Female,21,92,6.9,No,49,Yes,46,Fail
S0017,Male,36,87,9.5,Yes,81,No,64,Pass
S0018,Male,31,95,9.4,No,42,Yes,53,Pass
S0019,Female,34,69,8.3,No,56,Yes,50,Pass
S0020,Male,24,78,8.3,No,63,No,62,Pass
S0021,Female,14,57,6.1,Yes,78,No,49,Fail
S0022,Female,6,75,6.5,No,44,Yes,34,Fail
S0023,Female,34,53,7.0,No,98,Yes,75,Pass
S0024,Female,27,90,6.2,Yes,54,No,60,Pass
S0025,Female,5,54,7.7,Yes,32,No,22,Fail
S0026,Male,22,78,8.1,Yes,100,Yes,75,Pass
S0027,Male,38,64,5.0,No,32,Yes,60,Pass
S0028,Male,10,70,8.6,Yes,65,Yes,43,Fail
S0029,Male,6,56,8.2,No,86,No,48,Fail
S0030,Female,27,95,9.5,No,68,No,67,Pass
S0031,Male,30,86,8.4,Yes,51,Yes,52,Pass
S0032,Female,38,78,6.6,Yes,33,No,52,Pass
S0033,Male,20,82,7.6,No,94,Yes,71,Pass
S0034,Male,8,77,6.3,No,75,No,57,Pass
S0035,Female,35,97,8.0,No,35,No,53,Pass
S0036,Female,29,87,7.4,Yes,95,No,77,Pass
S0037,Female,30,90,5.3,No,91,Yes,60,Pass
S0038,Male,10,78,4.7,No,64,No,42,Fail
S0039,Female,40,72,6.8,No,92,No,76,Pass
S0040,Male,9,74,8.5,No,42,Yes,37,Fail
S0041,Female,40,67,9.5,Yes,94,Yes,75,Pass
S0042,Female,12,70,8.4,Yes,98,No,56,Pass
S0043,Female,32,93,7.0,Yes,62,Yes,55,Pass
S0044,Female,28,59,7.3,Yes,68,Yes,62,Pass
S0045,Male,38,73,5.5,No,95,Yes,71,Pass
S0046,Female,14,86,8.0,No,72,Yes,47,Fail
S0047,Female,21,97,9.2,No,52,Yes,56,Pass
S0048,Female,31,90,7.8,Yes,51,Yes,67,Pass
S0049,Female,13,58,7.9,No,67,No,53,Pass
S0050,Female,17,91,8.4,Yes,63,Yes,51,Pass
S0051,Male,15,71,6.3,Yes,55,No,44,Fail
S0052,Female,13,68,5.4,No,93,Yes,54,Pass
S0053,Female,14,93,6.5,Yes,88,Yes,54,Pass
S0054,Male,10,87,5.1,No,79,Yes,62,Pass
S0055,Male,11,98,7.2,Yes,45,Yes,53,Pass
S0056,Male,13,69,8.4,No,41,No,36,Fail
S0057,Male,5,68,5.0,Yes,57,No,28,Fail
S0058,Male,17,65,6.9,Yes,68,No,50,Pass
S0059,Female,25,97,7.5,Yes,88,No,64,Pass
S0060,Female,33,54,5.2,Yes,31,No,35,Fail
S0061,Female,21,84,5.3,No,85,Yes,70,Pass
S0062,Male,19,84,9.2,Yes,39,No,36,Fail
S0063,Male,15,94,5.0,Yes,43,No,49,Fail
S0064,Female,31,83,5.7,Yes,53,Yes,52,Pass
S0065,Male,34,89,6.4,No,36,No,46,Fail
S0066,Male,18,73,5.8,No,42,Yes,32,Fail
S0067,Male,37,89,5.8,Yes,53,No,66,Pass
S0068,Male,25,55,5.0,No,77,No,64,Pass
S0069,Male,12,99,4.9,Yes,69,No,47,Fail
S0070,Female,17,60,5.7,No,48,No,37,Fail
S0071,Male,8,56,5.7,Yes,68,No,33,Fail
S0072,Male,21,60,6.2,No,68,No,53,Pass
S0073,Female,11,98,9.0,Yes,99,No,69,Pass
S0074,Female,5,78,4.7,Yes,73,No,34,Fail
S0075,Male,28,67,6.3,No,50,No,49,Fail
S0076,Male,40,96,9.0,No,30,No,59,Pass
S0077,Male,27,76,5.1,Yes,95,No,72,Pass
S0078,Female,8,65,6.1,No,47,Yes,39,Fail
S0079,Female,15,60,9.3,No,72,No,44,Fail
S0080,Male,19,88,8.0,Yes,59,Yes,52,Pass
S0081,Female,28,91,4.5,No,100,Yes,63,Pass
S0082,Male,31,82,9.1,Yes,97,No,75,Pass
S0083,Male,12,100,6.6,No,31,No,45,Fail
S0084,Male,8,83,8.6,Yes,73,No,54,Pass
S0085,Male,28,90,7.7,Yes,62,No,55,Pass
S0086,Female,33,54,7.5,No,60,No,53,Pass
S0087,Male,30,79,5.6,Yes,77,No,58,Pass
S0088,Male,16,51,8.1,Yes,100,No,48,Fail
S0089,Male,28,61,5.9,No,89,Yes,65,Pass
S0090,Male,25,92,6.8,Yes,59,Yes,59,Pass
S0091,Female,15,64,8.8,Yes,69,Yes,47,Fail
S0092,Male,6,61,8.5,Yes,74,Yes,39,Fail
S0093,Male,21,99,5.2,No,33,No,37,Fail
S0094,Female,12,82,7.7,Yes,98,Yes,66,Pass
S0095,Female,23,64,4.9,No,35,Yes,31,Fail
S0096,Female,14,89,9.5,No,80,No,54,Pass
S0097,Female,39,69,5.7,No,78,No,67,Pass
S0098,Female,38,90,7.2,Yes,100,No,73,Pass
S0099,Female,36,67,6.3,No,87,No,66,Pass
S0100,Female,30,82,8.9,No,86,Yes,65,Pass
S0101,Male,32,90,5.0,Yes,75,No,73,Pass
S0102,Male,13,93,7.4,Yes,77,No,46,Fail
S0103,Female,8,72,7.0,Yes,60,No,31,Fail
S0104,Female,36,64,9.3,Yes,35,Yes,55,Pass
S0105,Male,27,74,7.0,No,82,No,67,Pass
S0106,Male,19,81,6.5,No,96,No,57,Pass
S0107,Male,34,71,5.1,No,55,No,55,Pass
S0108,Female,15,79,7.4,Yes,93,No,52,Pass
S0109,Male,29,54,5.5,No,45,No,53,Pass
S0110,Male,10,74,4.6,No,59,Yes,44,Fail
S0111,Male,20,84,5.6,Yes,64,No,61,Pass
S0112,Male,39,68,9.3,Yes,91,No,62,Pass
S0113,Male,28,59,7.1,Yes,64,Yes,57,Pass
S0114,Male,6,54,6.9,No,92,No,46,Fail
S0115,Female,14,78,6.3,Yes,72,Yes,56,Pass
S0116,Female,15,64,6.5,Yes,57,Yes,46,Fail
S0117,Female,17,66,5.5,Yes,63,No,50,Pass
S0118,Female,9,60,5.7,No,65,No,34,Fail
S0119,Male,19,50,7.0,Yes,94,Yes,46,Fail
S0120,Male,35,61,6.3,No,58,No,67,Pass
S0121,Male,33,71,5.3,No,68,No,59,Pass
S0122,Male,16,82,7.8,No,66,No,58,Pass
S0123,Female,12,85,7.9,No,92,Yes,62,Pass
S0124,Female,25,71,6.0,Yes,88,No,63,Pass
S0125,Male,30,87,9.2,Yes,83,No,76,Pass
S0126,Male,12,82,7.9,Yes,55,Yes,49,Fail
S0127,Male,26,81,6.0,Yes,67,Yes,63,Pass
S0128,Female,5,69,7.8,Yes,89,Yes,55,Pass
S0129,Male,15,69,8.0,No,41,No,46,Fail
S0130,Female,11,68,7.3,No,64,Yes,41,Fail
S0131,Female,27,94,4.6,Yes,89,No,57,Pass
S0132,Male,20,71,4.9,Yes,98,No,62,Pass
S0133,Female,34,54,8.6,No,33,Yes,46,Fail
